"y","llm","topic","quiz","item","quiz_id"
1,"deepseek-v3.2","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"deepseek-v3.2","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"deepseek-v3.2","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"deepseek-v3.2","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gemini-2.5-flash-lite","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-2.5-flash-lite","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gemini-3-pro-preview","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gemini-3-pro-preview","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gemini-3-pro-preview","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gpt-5-nano-2025-08-07","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gpt-5-nano-2025-08-07","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gpt-5-nano-2025-08-07","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5-nano-2025-08-07","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gpt-5.1-2025-11-13","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"gpt-5.1-2025-11-13","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"gpt-5.1-2025-11-13","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"grok-4-0709","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"grok-4-0709","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-0709","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"grok-4-1-fast-reasoning","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"grok-4-1-fast-reasoning","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-001","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-002","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-003","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"kimi-k2-thinking","Anesthesiology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-004","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-005","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","General Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-006","ABMS20260101_claude-opus-4-5-20251101_p01"
0,"kimi-k2-thinking","Ophthalmology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-007","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Orthopedic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-008","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Critical Care Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-009","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"kimi-k2-thinking","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p01-010","ABMS20260101_claude-opus-4-5-20251101_p01"
1,"claude-haiku-4-5-20251001","Dermatology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-001","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Urology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-002","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"claude-haiku-4-5-20251001","Otolaryngology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-003","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Physical Medicine and Rehabilitation","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-004","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Plastic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-005","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Neurological Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-006","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Radiation Oncology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-007","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Thoracic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-008","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Vascular Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-009","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-haiku-4-5-20251001","Cardiovascular","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-010","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Dermatology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-001","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Urology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-002","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Otolaryngology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-003","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"claude-opus-4-5-20251101","Physical Medicine and Rehabilitation","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-004","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Plastic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-005","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Neurological Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-006","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Radiation Oncology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-007","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Thoracic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-008","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Vascular Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-009","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"claude-opus-4-5-20251101","Cardiovascular","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-010","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Dermatology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-001","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Urology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-002","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Otolaryngology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-003","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"deepseek-v3.2","Physical Medicine and Rehabilitation","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-004","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Plastic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-005","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Neurological Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-006","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Radiation Oncology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-007","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Thoracic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-008","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Vascular Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-009","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"deepseek-v3.2","Cardiovascular","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-010","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-2.5-flash-lite","Dermatology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-001","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-2.5-flash-lite","Urology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-002","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gemini-2.5-flash-lite","Otolaryngology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-003","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gemini-2.5-flash-lite","Physical Medicine and Rehabilitation","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-004","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gemini-2.5-flash-lite","Plastic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-005","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-2.5-flash-lite","Neurological Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-006","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-2.5-flash-lite","Radiation Oncology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-007","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-2.5-flash-lite","Thoracic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-008","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-2.5-flash-lite","Vascular Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-009","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gemini-2.5-flash-lite","Cardiovascular","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-010","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Dermatology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-001","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Urology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-002","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Otolaryngology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-003","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Physical Medicine and Rehabilitation","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-004","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gemini-3-pro-preview","Plastic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-005","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Neurological Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-006","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Radiation Oncology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-007","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Thoracic Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-008","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gemini-3-pro-preview","Vascular Surgery","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-009","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gemini-3-pro-preview","Cardiovascular","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-010","ABMS20260101_claude-opus-4-5-20251101_p02"
1,"gpt-5-nano-2025-08-07","Dermatology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-001","ABMS20260101_claude-opus-4-5-20251101_p02"
0,"gpt-5-nano-2025-08-07","Urology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p02-002","ABMS20260101_claude-opus-4-5-20251101_p02"
