"item","p_item","n_llms","topic","quiz"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-003",1,6,"Otolaryngology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-004",0.166666666666667,6,"Physical Medicine and Rehabilitation","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-005",0.833333333333333,6,"Plastic Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-006",1,6,"Neurological Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-007",1,6,"Radiation Oncology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-008",0.833333333333333,6,"Thoracic Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-009",0.666666666666667,6,"Vascular Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p02::ABMS20260101_claude-opus-4-5-20251101_p02-010",0.833333333333333,6,"Cardiovascular","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-001",1,6,"Endocrine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-002",1,6,"Gastrointestinal","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-003",0.166666666666667,6,"Pulmonary","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-004",1,6,"Nephrology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-005",0.666666666666667,6,"Hematology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-006",1,6,"Immunology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-007",1,6,"Rheumatology/Musculoskeletal","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-008",0.833333333333333,6,"Infectious Disease","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-009",1,6,"Medical Oncology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p03::ABMS20260101_claude-opus-4-5-20251101_p03-010",1,6,"Allergy/Immunology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-001",1,6,"Geriatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-002",1,6,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-003",0.666666666666667,6,"Emergency Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-004",0.666666666666667,6,"Obstetrics and Gynecology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-005",1,6,"Anesthesiology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-006",0.666666666666667,6,"Psychiatry","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-007",1,6,"General Surgery","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-008",1,6,"Neurology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-009",0.833333333333333,6,"Cardiovascular","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p04::ABMS20260101_claude-opus-4-5-20251101_p04-010",0.5,6,"Endocrine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-001",1,6,"Gastrointestinal","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-002",1,6,"Pulmonary","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-003",1,6,"Infectious Disease","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-004",1,6,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-005",1,6,"Emergency Medicine","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-006",0.833333333333333,6,"Obstetrics and Gynecology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-007",0.5,6,"Psychiatry","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-008",0.166666666666667,6,"Neurology","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-009",1,6,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_claude-opus-4-5-20251101_p05::ABMS20260101_claude-opus-4-5-20251101_p05-010",1,6,"Pediatrics","claude-opus-4-5-20251101"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-001",1,6,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-002",0.833333333333333,6,"Emergency Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-003",0.5,6,"Obstetrics and Gynecology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-004",1,6,"Anesthesiology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-005",0.5,6,"Psychiatry","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-006",0.833333333333333,6,"General Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-007",1,6,"Ophthalmology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-008",1,6,"Orthopedic Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-009",1,6,"Critical Care Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p01::ABMS20260101_deepseek-v3.2_p01-010",1,6,"Neurology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-001",1,6,"Dermatology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-002",1,6,"Urology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-003",1,6,"Otolaryngology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-004",0.666666666666667,6,"Physical Medicine and Rehabilitation","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-005",1,6,"Plastic Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-006",0.5,6,"Neurological Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-007",1,6,"Radiation Oncology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-008",0,6,"Thoracic Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-009",0.833333333333333,6,"Vascular Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-010",1,6,"Cardiovascular","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-001",1,6,"Endocrine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-002",0.666666666666667,6,"Gastrointestinal","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-003",0.166666666666667,6,"Pulmonary","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-004",1,6,"Nephrology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-005",1,6,"Hematology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-006",1,6,"Immunology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-007",1,6,"Rheumatology/Musculoskeletal","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-008",1,6,"Infectious Disease","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-009",1,6,"Medical Oncology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-010",1,6,"Allergy/Immunology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-001",1,6,"Geriatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-002",0.5,6,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-003",1,6,"Emergency Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-004",1,6,"Obstetrics and Gynecology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-005",1,6,"Anesthesiology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-006",1,6,"Psychiatry","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-007",0.833333333333333,6,"General Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-008",1,6,"Neurology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-009",1,6,"Cardiovascular","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-010",1,6,"Endocrine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-001",1,6,"Gastrointestinal","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-002",0.833333333333333,6,"Pulmonary","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-003",0.333333333333333,6,"Infectious Disease","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-004",0.833333333333333,6,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-005",1,6,"Emergency Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-006",1,6,"Obstetrics and Gynecology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-007",1,6,"Psychiatry","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-008",0.833333333333333,6,"Neurology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-009",0.833333333333333,6,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-010",0.833333333333333,6,"Pediatrics","deepseek-v3.2"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-001",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-002",0.833333333333333,6,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-003",1,6,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-004",1,6,"Anesthesiology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-005",1,6,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-006",1,6,"General Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-007",1,6,"Ophthalmology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-008",1,6,"Orthopedic Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-009",1,6,"Critical Care Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-010",1,6,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-001",1,6,"Dermatology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-002",1,6,"Urology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-003",1,6,"Otolaryngology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-004",1,6,"Physical Medicine and Rehabilitation","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-005",1,6,"Plastic Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-006",1,6,"Neurological Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-007",0.166666666666667,6,"Radiation Oncology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-008",1,6,"Thoracic Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-009",0.5,6,"Vascular Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-010",1,6,"Cardiovascular","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-001",1,6,"Endocrine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-002",1,6,"Gastrointestinal","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-003",1,6,"Pulmonary","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-004",1,6,"Nephrology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-005",0.666666666666667,6,"Hematology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-006",1,6,"Immunology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-007",1,6,"Rheumatology/Musculoskeletal","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-008",1,6,"Infectious Disease","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-009",1,6,"Medical Oncology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-010",1,6,"Allergy/Immunology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-001",1,6,"Geriatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-002",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-003",1,6,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-004",1,6,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-005",1,6,"Anesthesiology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-006",1,6,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-007",1,6,"General Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-008",1,6,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-009",1,6,"Cardiovascular","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-010",1,6,"Endocrine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-001",1,6,"Gastrointestinal","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-002",1,6,"Pulmonary","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-003",1,6,"Infectious Disease","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-004",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-005",1,6,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-006",1,6,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-007",1,6,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-008",1,6,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-009",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-010",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-001",0.833333333333333,6,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-002",1,6,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-003",1,6,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-004",1,6,"Anesthesiology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-005",1,6,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-006",0.833333333333333,6,"General Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-007",1,6,"Ophthalmology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-008",1,6,"Orthopedic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-009",1,6,"Critical Care Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-010",0.5,6,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-001",0.666666666666667,6,"Dermatology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-002",1,6,"Urology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-003",1,6,"Otolaryngology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-004",1,6,"Physical Medicine and Rehabilitation","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-005",0.833333333333333,6,"Plastic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-006",0.5,6,"Neurological Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-007",0.666666666666667,6,"Radiation Oncology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-008",1,6,"Thoracic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-009",0.166666666666667,6,"Vascular Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-010",0.666666666666667,6,"Cardiovascular","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-001",0.666666666666667,6,"Endocrine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-002",1,6,"Gastrointestinal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-003",1,6,"Pulmonary","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-004",1,6,"Nephrology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-005",1,6,"Hematology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-006",0.666666666666667,6,"Immunology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-007",1,6,"Rheumatology/Musculoskeletal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-008",0.166666666666667,6,"Infectious Disease","gpt-5.1-2025-11-13"
