"item","p_item","n_llms","topic","quiz"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-004",0.7,10,"Physical Medicine and Rehabilitation","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-005",0.8,10,"Plastic Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-006",0.4,10,"Neurological Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-007",1,10,"Radiation Oncology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-008",0,10,"Thoracic Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-009",0.9,10,"Vascular Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p02::ABMS20260101_deepseek-v3.2_p02-010",1,10,"Cardiovascular","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-001",1,10,"Endocrine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-002",0.7,10,"Gastrointestinal","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-003",0.1,10,"Pulmonary","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-004",1,10,"Nephrology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-005",0.8,10,"Hematology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-006",1,10,"Immunology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-007",1,10,"Rheumatology/Musculoskeletal","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-008",1,10,"Infectious Disease","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-009",1,10,"Medical Oncology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p03::ABMS20260101_deepseek-v3.2_p03-010",1,10,"Allergy/Immunology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-001",1,10,"Geriatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-002",0.4,10,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-003",1,10,"Emergency Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-004",1,10,"Obstetrics and Gynecology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-005",1,10,"Anesthesiology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-006",1,10,"Psychiatry","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-007",0.9,10,"General Surgery","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-008",1,10,"Neurology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-009",1,10,"Cardiovascular","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p04::ABMS20260101_deepseek-v3.2_p04-010",1,10,"Endocrine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-001",1,10,"Gastrointestinal","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-002",0.9,10,"Pulmonary","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-003",0.3,10,"Infectious Disease","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-004",0.8,10,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-005",0.9,10,"Emergency Medicine","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-006",1,10,"Obstetrics and Gynecology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-007",1,10,"Psychiatry","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-008",0.8,10,"Neurology","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-009",0.9,10,"Pediatrics","deepseek-v3.2"
"ABMS20260101_deepseek-v3.2_p05::ABMS20260101_deepseek-v3.2_p05-010",0.9,10,"Pediatrics","deepseek-v3.2"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-001",1,10,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-002",0.8,10,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-003",1,10,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-004",0.9,10,"Anesthesiology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-005",1,10,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-006",0.9,10,"General Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-007",1,10,"Ophthalmology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-008",0.9,10,"Orthopedic Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-009",1,10,"Critical Care Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p01::ABMS20260101_gemini-3-pro-preview_p01-010",0.9,10,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-001",0.9,10,"Dermatology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-002",0.9,10,"Urology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-003",1,10,"Otolaryngology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-004",1,10,"Physical Medicine and Rehabilitation","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-005",0.8,10,"Plastic Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-006",1,10,"Neurological Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-007",0.1,10,"Radiation Oncology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-008",0.9,10,"Thoracic Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-009",0.6,10,"Vascular Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p02::ABMS20260101_gemini-3-pro-preview_p02-010",1,10,"Cardiovascular","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-001",1,10,"Endocrine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-002",1,10,"Gastrointestinal","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-003",1,10,"Pulmonary","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-004",1,10,"Nephrology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-005",0.6,10,"Hematology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-006",1,10,"Immunology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-007",1,10,"Rheumatology/Musculoskeletal","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-008",1,10,"Infectious Disease","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-009",1,10,"Medical Oncology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p03::ABMS20260101_gemini-3-pro-preview_p03-010",1,10,"Allergy/Immunology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-001",1,10,"Geriatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-002",1,10,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-003",1,10,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-004",1,10,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-005",1,10,"Anesthesiology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-006",1,10,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-007",0.8,10,"General Surgery","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-008",0.9,10,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-009",1,10,"Cardiovascular","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p04::ABMS20260101_gemini-3-pro-preview_p04-010",0.9,10,"Endocrine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-001",1,10,"Gastrointestinal","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-002",0.9,10,"Pulmonary","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-003",0.9,10,"Infectious Disease","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-004",1,10,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-005",1,10,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-006",1,10,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-007",1,10,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-008",1,10,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-009",1,10,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-010",1,10,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-001",0.7,10,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-002",1,10,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-003",1,10,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-004",1,10,"Anesthesiology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-005",0.9,10,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-006",0.9,10,"General Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-007",1,10,"Ophthalmology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-008",1,10,"Orthopedic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-009",0.8,10,"Critical Care Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-010",0.5,10,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-001",0.6,10,"Dermatology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-002",1,10,"Urology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-003",1,10,"Otolaryngology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-004",1,10,"Physical Medicine and Rehabilitation","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-005",0.9,10,"Plastic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-006",0.5,10,"Neurological Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-007",0.8,10,"Radiation Oncology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-008",0.8,10,"Thoracic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-009",0.3,10,"Vascular Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-010",0.8,10,"Cardiovascular","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-001",0.5,10,"Endocrine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-002",0.8,10,"Gastrointestinal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-003",0.8,10,"Pulmonary","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-004",1,10,"Nephrology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-005",0.8,10,"Hematology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-006",0.8,10,"Immunology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-007",1,10,"Rheumatology/Musculoskeletal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-008",0.2,10,"Infectious Disease","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-009",0.9,10,"Medical Oncology","gpt-5.1-2025-11-13"
